sentence,label,text
$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,0,$SAP Q1 mengecewakan karena #lisensi perangkat lunak mati. Masalah sebenarnya? #Pertumbuhan cloud mengikuti $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5
"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .",2,"Subdivisi ini menghasilkan pendapatan penjualan tahun lalu sebesar EUR 480,7 juta EUR 414,9 juta pada tahun 2008, dan laba operasional sebesar EUR 44,5 juta EUR 7,4 juta."
Viking Line has canceled some services .,1,Viking Line telah membatalkan beberapa layanan.
"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",1,PENGUMUMAN BURSA EFEK Ahlstrom Corporation 2007/02/07 pukul 10.30 Sebanyak 56.955 saham baru Ahlstrom Corporation telah diambil bagian dengan hak opsi berdasarkan program opsi saham perusahaan I 2001 dan II 2001.
$FB gone green on day,2,$FB menjadi hijau pada hari itu
$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,2,Pendapatan $MSFT SQL Server tumbuh dua digit dengan pendapatan SQL Server Premium tumbuh lebih dari 30% http://stks.co/ir2F
"According to L+ñnnen Tehtaat 's CEO Matti Karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does .",1,"Menurut CEO L+ñnnen Tehtaat, Matti Karppinen, perusahaan tersebut bertujuan untuk mengirimkan produk ikan kepada pelanggannya sehari lebih awal dibandingkan saat ini."
The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .,1,Saham perusahaan tersebut dikutip di NASDAQ OMX Helsinki Rautaruukki Oyj: RTRKS.
Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. .,1,Elcoteq SE terdaftar di Nasdaq OMX Helsinki Ltd.
Two of these contracts are for turntable anode vibrocompactors that will be delivered to Gansu Hualu Aluminum Co Ltd and another unnamed costumer .,1,Dua dari kontrak ini adalah untuk vibrocompactors anoda turntable yang akan dikirimkan ke Gansu Hualu Aluminium Co Ltd dan pelanggan lain yang tidak disebutkan namanya.
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",2,"Aviva, Friends Life merupakan perkiraan teratas menjelang merger senilai 5,6 miliar pound"
"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .",1,"Alih-alih berbahan dasar minuman ringan, seperti biasa, minuman energi Teho dibuat dengan air segar."
The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,1,Perusahaan berencana untuk menambah staf spesialis unit tersebut menjadi beberapa lusin -- tergantung pada situasi pasar selama tahun 2010 .
The company closed last year with a turnover of about four million euros .,1,Perusahaan ini menutup tahun lalu dengan omzet sekitar empat juta euro.
Shire CEO steps up drive to get Baxalta board talking,2,CEO Shire meningkatkan upayanya agar dewan direksi Baxalta angkat bicara
Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,2,Costco: Permainan Dividen Ritel Utama https://t.co/Fa5cnh2t0t $COST
"The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .",1,Bangunan lima lantai yang ramah lingkungan ini akan memiliki luas lantai kotor sekitar 15.000 meter persegi. Ini juga akan mencakup apartemen.
"The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards .",1,"Bagian pertama dari Seri Sinema diakhiri dengan profil penemu Finlandia Olavi Linden, yang perjalanan artistik pribadinya dan karyanya di Fiskars telah menghasilkan lusinan penghargaan desain."
All are welcome .,1,Semuanya dipersilakan.
"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .",2,"Stockmann dan perusahaan sektor Swedia AB Lindex menandatangani perjanjian pada tanggal 30 September 2007, dimana Stockmann, atau anak perusahaan yang dimiliki sepenuhnya, akan melakukan penawaran tender publik untuk seluruh saham yang diterbitkan Lindex."
"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .",1,"SIARAN BURSA EFEK HUHTAMAKI OYJ, 16.9.2008 PUKUL 13.32 Hari Pasar Modal Huhtamaki untuk investor institusi dan analis diadakan di Espoo, 16 September 2008 mulai pukul 13.30 waktu Finlandia."
`` We are pleased to welcome Tapeks Noma into Cramo group .,2,"""Kami sangat senang menyambut Tapeks Noma ke dalam grup Cramo."
- Profit before taxes was EUR 105.9 82.7 million .,1,"""Laba sebelum pajak adalah EUR 105,9 82,7 juta."
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,2,Royal Dutch Shell Akan Membeli BG Group senilai Hampir $70 Miliar
"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",1,"FinancialWire tm bukan layanan siaran pers, dan tidak menerima kompensasi atas berita, opini, atau distribusinya."
ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,1,"ASSA ABLOY Kaupthing Bank memberikan rekomendasi `netral' dan target harga saham 174 crown $24,7-19 euro pada pembuat kunci Swedia Assa Abloy AB."
"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .",2,"Item tersebut termasuk biaya restrukturisasi sebesar EUR1,6 juta, sedangkan tahun sebelumnya sebesar EUR13,1 juta. EPS terdilusi berada pada EUR0,3 versus kerugian per saham sebesar EUR 0,1."
In 2005 the bank posted a net profit of Lt 8.2 mn .,1,"Pada tahun 2005 bank membukukan laba bersih sebesar Lt 8,2 juta."
$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,0,Aksi jual sore hari $AAPL seperti biasa akan brutal. bersiap-siap untuk kehilangan banyak uang.
$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,0,$TSLA mengingat hampir semua model X @cnnbrk sehingga bahkan di tempat kerja Anda terjun dalam perdagangan uang
"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",0,"Dolce & Gabbana telah meminta Uni Eropa untuk menyatakan merek dagang motif bunga `` Unikko '' milik Marimekko Corporation tidak sah, dalam perselisihan yang terus berlanjut antara kedua perusahaan."
InterContinental Hotels first-quarter global room revenue lags estimates,0,Pendapatan kamar global InterContinental Hotels pada kuartal pertama tertinggal dari perkiraan
"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .",2,"Menurut perusahaan asuransi pensiun Finlandia, Varma, Varma adalah penerima lebih dari dua pertiga pendapatan asuransi pensiun terkait pendapatan yang mengikuti tender kompetitif di Finlandia."
"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",2,"Sebagiannya, senilai $12,5 juta, akan dicatat sebagai bagian dari kemenangannya dalam sengketa paten sebelumnya dengan pembuat telepon asal Finlandia, Nokia Oyj."
"L&G still paying price for dividend cut during crisis, chief says",0,"L&G masih menanggung akibat dari pemotongan dividen selama krisis, kata Chief"
The volume of investments in the two phases of the project is estimated at USD 300mn ( EUR 215.03 mn ) .,1,"Volume investasi dalam dua tahap proyek ini diperkirakan sebesar USD 300 juta ( EUR 215,03 juta )."
"Russia accounted for 9 % of the Lagardere magazine division 's revenue , or EUR 114.40 mn ( USD 148.11 mn ) in 2009 , the USA - for 18 % .",1,"Rusia menyumbang 9 % dari pendapatan divisi majalah Lagardere , atau EUR 114,40 juta ( USD 148,11 juta ) pada tahun 2009 , Amerika Serikat - sebesar 18 % ."
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,2,"Perusahaan juga memperkirakan investasi yang telah dilakukan akan menyebabkan peningkatan penjualan bersih untuk tahun 2010 dari tahun 2009 yang mencapai EUR 141,7 juta."
Profit of the accounting period was EUR 0.3 mn .,1,"Laba periode akuntansi adalah EUR 0,3 juta."
"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",2,"Keenam pabrik bir tersebut mencatat pertumbuhan penjualan bir dalam negeri sebesar 5,2 persen tahun lalu menjadi 270,21 juta liter, dari 256,88 juta liter yang terjual pada tahun 2005."
"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .",2,"Pada bulan Agustus-Oktober 2010, laba sebelum pajak perusahaan berjumlah EUR 9,6 juta, naik dari EUR 0,5 juta pada periode yang sama tahun 2009."
"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",2,"Penjualan Systeemitiimi dan sumber daya proyek juga akan diperkuat, kata direktur Paul Skogberg."
Tesco share price jumps as Q3 sales top estimates,2,Harga saham Tesco melonjak seiring perkiraan penjualan tertinggi Q3
The fine print is here .,1,Cetakan kecilnya ada di sini.
The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,2,Harga kayu bulat jelas membaik dibandingkan tahun 2009 dan harga kayu pulp juga meningkat.
"Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978 - 734 , obtained title to all the shares of Sentera that are to be redeemed .",1,"Dengan demikian, SysOpen Digia, sesuai dengan Bab 14 Pasal 21 Undang-undang Perusahaan Finlandia tanggal 29 September 1978-734, memperoleh hak milik atas seluruh saham Sentera yang akan ditebus."
Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,1,"Laba per saham (EPS) terdilusi turun menjadi EUR 0,63 dari EUR 1,71."
"At 3:37 p.m. Eastern time , a block of 2,400 contracts changed hands at a bid price of $ 0.45 .",1,"Pada 15:37. Waktu bagian Timur, satu blok berisi 2.400 kontrak berpindah tangan dengan harga penawaran $0,45."
"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel .",1,"Beberapa pengiriman teknologi terbaru mencakup teknologi pengilangan ke Anrak Aluminium, pabrik pelet bijih besi ke Tata Steel dan pabrik sintering bijih besi ke Bhushan Steel."
$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,2,$VIPS pola serupa seperti awal Mei. Apakah kamu menjual? Sama sekarang..akan naik jauh lebih tinggi setelah penurunan ini.
The firm generated sales of 187 mln eur in 2005 .,1,Perusahaan ini menghasilkan penjualan sebesar 187 juta euro pada tahun 2005 .
"Stora Enso has also had meetings with the labor authorities , Employment and Economic Development Centres and representatives of the government in order to find solutions .",1,"Stora Enso juga telah mengadakan pertemuan dengan otoritas ketenagakerjaan, Pusat Ketenagakerjaan dan Pembangunan Ekonomi serta perwakilan pemerintah untuk mencari solusi."
AstraZeneca profit down as sales of stalwarts fade,0,Keuntungan AstraZeneca turun karena penjualan pendukungnya memudar
"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",2,"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO Grafik yang terlihat gila, namun mendekati garis resistance penembusan..."
Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,2,Sebagian besar saham bullish di Twitter selama penurunan ini. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY selengkapnya: https://t.co/iuZJelfwt3
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",0,Penjualan bersih GeoSentric Finlandia turun menjadi EUR 939.000 pada Januari-Maret 2009.
"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .",1,"Cohen & Steers, Inc. : 5.534.626 saham yang mewakili 4,985% modal saham dan hak suara."
More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,2,Lebih banyak staf telah direkrut di Jepang untuk lebih melengkapi jaringannya yang mencakup hampir 50 lokasi layanan di lebih dari 20 negara di seluruh dunia.
"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .",1,"Perusahaan kertas berada di wilayah negatif, dengan Stora Enso R turun 1,62 persen menjadi 12,73 euro, UPM-Kymmene turun 0,80 persen pada 18,64 euro dan M-real B turun 0,18 persen menjadi 5,57 euro."
Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,1,Administrasi terpusat Kauko-Telko akan dibubarkan dan bagian-bagiannya yang sesuai akan dialihkan ke kegiatan operasi dan administrasi Grup pada akhir tahun ini.
Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .,1,"Laba operasional untuk kuartal April-Juni 2006 berjumlah EUR182,2 juta dari penjualan sebesar EUR3,62 miliar."
Atria chose the DeLight to attract consumers in the 25-45 age group to its Atria Fresh range of microwaveable meals .,1,Atria memilih DeLight untuk menarik konsumen dalam kelompok usia 25-45 tahun ke rangkaian makanan microwaveable Atria Fresh.
"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",1,"Penyedia solusi TI asal Finlandia, Affecto Oyj HEL: AFE1V mengatakan hari ini pihaknya mengalami kerugian bersih sebesar EUR 115,000 USD 152,000 pada kuartal kedua tahun 2010 dari laba sebesar EUR 845,000 pada periode yang sama tahun sebelumnya."
US sanctions put Gazprom-Shell alliance plans in jeopardy,0,Sanksi AS membahayakan rencana aliansi Gazprom-Shell
"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",1,"Laba pada periode tersebut adalah EUR 10,9 juta, turun dari EUR 14,3 juta pada tahun 2009."
"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",2,"Laba periode tersebut adalah EUR 5,9 juta, naik dari EUR 1,3 juta."
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,1,"Laba operasional turun menjadi EUR 20,3 juta dari EUR 74,2 juta pada kuartal kedua tahun 2008 ."
"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",2,"Namun, penjualan kembali tumbuh pada bulan April-Juni 2010, kata CEO Pekka Eloholma."
Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .,1,"Laba operasional berjumlah EUR 18,6 juta atau 8,3% dari penjualan bersih."
"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",0,"Perubahan situasi pasar dan persaingan harga yang lebih ketat telah secara signifikan mengurangi permintaan roti kemasan yang diproduksi di pabrik Kauhava, menurut perusahaan tersebut."
"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .",1,"Sehubungan dengan kesepakatan tersebut, Digia akan mempekerjakan 19 orang dari Nokia di Oslo dan Silicon Valley di AS."
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .",2,"Unit penyedia solusi keamanan Finlandia F-Secure di Brazil mendaftarkan 1.500 klien baru tahun lalu, sumber berita online Reseller Web mengutip direktur komersial divisi tersebut, Vladimir Brand+úo."
The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,1,"Nilai wajar properti investasi perusahaan turun menjadi EUR 2,768 miliar pada akhir tahun 2009 dari EUR 2,916 miliar pada tahun sebelumnya."
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",0,"Dealer mengatakan saham tersebut sebagian besar terpukul oleh kekecewaan investor mengenai margin penyulingan yang hanya sebesar 9,48 dolar AS per barel pada kuartal tersebut dan kinerja unit pelayarannya, yang menyebabkan EBIT turun menjadi 5 juta euro dari 20 juta euro per tahun di tengah penurunan volume. dan tarif kapal tanker."
"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .",1,"`Ini merupakan bukti kualitas solusi LTE kami dan komitmen kami terhadap pasar Jepang', tambahnya."
The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .,1,Tujuan perusahaan adalah menyelesaikan negosiasi dan menandatangani kontrak pada awal Oktober 2008.
"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .",1,"Metso Foundries Jyvaskyla Oy akan menghentikan produksi pada lini ini pada tanggal 30 September 2008, kata perusahaan tersebut."
"A total six of the polled analysts rated M-real -- two gave `` buy '' - `` accumulate '' , three gave `` hold '' and only one gave `` sell '' .",1,"Sebanyak enam analis yang disurvei menilai M-real -- dua memberikan `` beli'' - ``akumulasi'', tiga memberikan ``tahan'' dan hanya satu yang memberikan ``jual''."
"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .",2,"Pada bulan September 2010, kelompok Finlandia setuju untuk membeli perusahaan Denmark Rose Poultry A-S hingga EUR23,9 juta dalam kombinasi uang tunai dan saham."
$YANG Double bottom 5.2,2,$YANG Dasar ganda 5.2
Tesco share price down as grocer faces SFO investigation outcome,0,Harga saham Tesco turun karena pedagang kelontong menghadapi hasil investigasi SFO
$aapl news is becoming very bullish again http://stks.co/tMU,2,Berita $aapl menjadi sangat bullish lagi http://stks.co/tMU
"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE .",1,"GS Engineering akan memasang katup di pabrik LNG gas alam cair yang dibangunnya untuk ekstraksi LNG UEA dan operator pabrik gas GASCO di Ruwais, UEA."
The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them .,1,Persentase saham dan hak suara dihitung secara proporsional dengan jumlah seluruh saham yang terdaftar dalam Daftar Dagang dan jumlah seluruh hak suara yang berkaitan dengannya.
"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '",1,"M-Real mengatakan `tidak ada dasar' untuk rumor tersebut, yang `telah beredar di pasar selama beberapa bulan. '"
"Lember said the matter was topical also in Estonia , where a bill has been drafted at the Social Affairs Ministry that would scrap old-age pensions on favorable conditions .",1,"Lember mengatakan masalah ini juga menjadi topik hangat di Estonia, di mana rancangan undang-undang di Kementerian Sosial telah dirancang yang akan menghapuskan dana pensiun hari tua jika persyaratannya menguntungkan."
- Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .,1,"""Moody's mengatakan pihaknya memberikan peringkat utang senior tanpa jaminan jangka panjang P A1 dan peringkat utang jangka pendek P P-1 kepada program EMTN surat utang jangka menengah EUR1 miliar USD1,4 miliar euro yang diterbitkan oleh pemberi pinjaman asal Finlandia, Aktia Bank, pada 25 Maret 2011."
$TSLA recall,0,Penarikan $TSLA
"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",1,"Penyediaan likuiditas terhenti pada tanggal 11 Mei 2007 ketika saham Aspocomp Group Oyj diperdagangkan di bawah 0,50 sen (rilis bursa Aspocomp 11.5.2007)."
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,2,"Hargreaves Lansdown melawan pasar yang lemah dengan melihat aset naik 2,6 persen"
"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .",0,"Pada pukul 12.59 siang, indeks OMX Helsinki 25 turun 0,32 persen menjadi 2,694.81."
"The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .",1,"Keputusan tersebut berarti pemberhentian sementara dengan jangka waktu tetap di unit Nastola dan Jyvaskyla milik perusahaan, masing-masing di Finlandia selatan dan tengah."
The value of the orders is over EUR 10mn .,1,Nilai pesanan melebihi EUR 10 juta.
Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,1,Ms Laakso akan bertanggung jawab atas fungsi SDM HKScan dan pengembangannya di seluruh area pasar Grup.
"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .",1,"Fiskars juga terlibat dalam penyediaan solusi dan layanan peralatan kelautan dan energi global melalui perusahaan asosiasinya, Wartsila Corporation."
Aberdeen Asset Management Gains Foothold In China,2,Aberdeen Asset Management Mendapatkan Pijakan di Tiongkok
Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .,1,"Perusahaan kereta api yang mendominasi di Finlandia, VR, berencana menempatkan penumpang yang terinfeksi untuk perjalanan jarak jauh di gerbong terpisah."
"In November , the Finnish government decreased its ownership in the company further to 31.1 percent from 38 percent .",1,"Pada bulan November, pemerintah Finlandia menurunkan kepemilikannya di perusahaan tersebut menjadi 31,1 persen dari 38 persen."
"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .",1,"Finnish Exel Composites, sebuah perusahaan teknologi yang merancang, memproduksi, dan memasarkan profil komposit dan tabung untuk berbagai aplikasi industri, melaporkan penjualan bersihnya turun 0,6% pada kuartal kedua tahun 2010 menjadi EUR 19,2 juta dari EUR 19,3 juta pada periode yang sama di tahun 2010. 2009."
"Of Bavelloni 's and NST 's joint ventures , Bavelloni Tools , completes semiproducts that are produced in Italy into high-quality tools that will be sold under the DiaPol brand .",1,"Dari usaha patungan Bavelloni dan NST, Bavelloni Tools, melengkapi produk semi-produk yang diproduksi di Italia menjadi peralatan berkualitas tinggi yang akan dijual dengan merek DiaPol."
The tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind .,1,Alat ini adalah desain yang masih dalam proses paten yang memungkinkan konsumen untuk meletakkan seluruh proyek mereka pada pelat yang dapat dilepas menggunakan beberapa stempel bening dalam bentuk apa pun.
$GOOGL is a short below 740 into the upper BB and is overbought,0,$GOOGL berada di bawah 740 menuju BB atas dan overbought
"LIGHTS OUT Before curfew , curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan .",1,"LAMPU MATI Sebelum jam malam, nikmati buku terlaris terbaru dan manjakan mata Anda dengan lampu baca sempurna dari Luceplan."
"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",0,"UPM-Kymmene Corp., pembuat kertas majalah terbesar di dunia, pada hari Selasa melaporkan penurunan laba sebesar 19 persen karena harga kertas yang lebih rendah, biaya yang lebih tinggi dan euro yang kuat merugikan pendapatan."
The total value of the contract is some EUR 8 million .,1,Nilai total kontraknya sekitar EUR 8 juta.
"The prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire Aspo shares to the amount determined by the Board in advance , in the maximum .",1,Prasyarat untuk dimasukkan dalam program ini dan untuk menerima keuntungan adalah bahwa karyawan kunci memperoleh saham Aspo dengan jumlah maksimum yang ditentukan oleh Dewan di muka.
Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 .,1,Bapak Doring telah bekerja di Eaton sejak tahun 1989 dan bertindak sebagai Manajer Unit Bisnis untuk Unit Bisnis Pengendalian Daya Eaton sejak Januari 2007.
"The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals .",2,"Toko seluas 250 meter persegi dan 2.691 kaki persegi di distrik perbelanjaan utama Kopenhagen diresmikan hari ini, semakin memperkuat kehadiran perusahaan di ibu kota Nordik."
"In the financial statement for the first quarter of 2010 , Tikkurila is reported under discontinued operations .",1,"Dalam laporan keuangan kuartal pertama tahun 2010, Tikkurila dilaporkan dalam operasi yang dihentikan."
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",2,"Produsen baja tahan karat terbesar kedua di dunia ini mengatakan laba bersih dalam periode tiga bulan hingga 31 Desember melonjak menjadi euro603 juta US$ 781 juta, atau euro3,33 US$ 4,31 per saham, dari euro172 juta, atau euro0,94 per saham. berbagi, tahun sebelumnya."
